TID,Product
C10073,Keyboard
C10073,Speaker
C10073,
C10073,LCD-Monitor
C10073,
C10073,Display Card
C10073,Sound Card
C10073,Case
C10082,Case
C10082,Speaker
C10082,Keyboard
C10082,CRT-Monitor
C10082,Mouse
C10082,Display Card
C10091,Case
C10091,Keyboard
C10091,LCD-Monitor
C10091,Printer
C10091,Desktop
C10091,Display Card
C10091,Mouse
C10091,Notebook
C10103,LCD-Monitor
C10109,Mouse
C1013,LCD-Monitor
C1013,Display Card
C1013,Speaker
C1013,Printer
C1013,Case
C10133,Printer
C10133,Display Card
C1016,Mouse
C1016,Case
C1016,Display Card
C1016,LCD-Monitor
C1016,Keyboard
C1016,
C10181,Display Card
C10181,Desktop
C10181,Keyboard
C10181,LCD-Monitor
C10184,CASE
C10184,Sound Card
C10184,Diaplay Card
C10184,LCD-Monitor
C10184,Desjtop
C10184,Notebook
C10226,Desktop
C10226,Speaker
C10226,CRT-Monitor
C10226,LCD-Monitor
C10226,Notebook
C10226,Case
C10226,Mouse
C10226,
C10226,Display Card
C10232,LCD-Monitor
C10232,Keyboard
C1025,Keyboard
C1025,Speaker
C1025,Notebook
C1025,Mouse
C10250,Printer
C10250,
C10250,CRT-Monitor
C10250,Notebook
C10250,Speaker
C10250,Desktop
C10250,Display Card
C10250,Mouse
C10250,Case
C10259,Case
C10259,Display Card
C10259,Notebook
C1028,Keyboard
C1028,Speaker
C1028,Case
C10295,LCD-Monitor
C10295,Display Card
C10310,CRT-Monitor
C10316,Mouse
C10316,CRT-Monitor
C10316,Printer
C10316,Keyboard
C10316,LCD-Monitor
C10337,CRT-Monitor
C10337,Speaker
C10337,LCD-Monitor
C10337,Desktop
C10337,Display Card
C10397,Notebook
C10454,Mouse
C10478,Printer
C10478,Speaker
C10478,Mouse
C10478,Keyboard
C10478,Notebook
C10478,Diaplay Card
C10478,CASE
C10478,CRT-Monitor
C10490,Mouse
C10490,Speaker
C10496,Mouse
C10496,Keyboard
C10496,Speaker
C10496,Sound Card
C10496,Desjtop
C10496,CASE
C10496,Diaplay Card
C10496,Notebook
C10577,Notebook
C10577,Display Card
C10577,Case
C1058,Display Card
C10583,LCD-Monitor
C10592,Mouse
C10592,LCD-Monitor
C10592,Speaker
C10592,Case
C10592,Keyboard
C10592,Notebook
C10592,Desktop
C10619,Display Card
C10631,Display Card
C10631,Desktop
C10637,Desktop
C10643,Keyboard
C10649,Speaker
C10649,LCD-Monitor
C10649,Sound Card
C10649,CASE
C10649,Notebook
C10649,Diaplay Card
C10655,CRT-Monitor
C10655,Desktop
C10655,Keyboard
C10661,Display Card
C10673,CRT-Monitor
C10673,Speaker
C10673,Case
C10673,Notebook
C10673,Desktop
C10694,Speaker
C10694,CASE
C10694,Notebook
C10694,Sound Card
