PID,CustomerID,Method,Charge,Balance,PaymentDate,DueDate
1,205,"1",306,306,2006-11-01 00:00:00,2006-10-06 00:00:00
2,244,"1",155,155,2006-10-31 00:00:00,2006-11-10 00:00:00
3,92,"2",197,197,2005-03-08 00:00:00,2005-02-19 00:00:00
4,8,"3",314,769,2005-01-14 00:00:00,2004-12-02 00:00:00
5,224,"2",265,279,2006-04-17 00:00:00,2006-04-30 00:00:00
6,208,"2",301,301,2006-02-15 00:00:00,2006-01-18 00:00:00
7,90,"3",195,195,2005-05-25 00:00:00,2005-06-05 00:00:00
8,235,"2",212,212,2006-11-19 00:00:00,2006-10-10 00:00:00
9,92,"3",203,674,2006-07-07 00:00:00,2006-06-24 00:00:00
10,105,"3",204,539,2006-09-12 00:00:00,2006-08-11 00:00:00
11,202,"2",311,311,2005-02-12 00:00:00,2005-02-14 00:00:00
12,157,"4",184,360,2006-08-27 00:00:00,2006-08-12 00:00:00
13,160,"1",300,643,2006-05-18 00:00:00,2006-05-06 00:00:00
14,81,"2",141,558,2005-02-17 00:00:00,2005-01-10 00:00:00
15,173,"4",184,184,2006-05-25 00:00:00,2006-04-20 00:00:00
16,84,"2",354,495,2005-07-10 00:00:00,2005-06-11 00:00:00
17,84,"1",233,326,2005-04-13 00:00:00,2005-03-27 00:00:00
18,22,"4",87,491,2005-03-29 00:00:00,2005-02-27 00:00:00
19,215,"3",303,711,2006-03-27 00:00:00,2006-03-10 00:00:00
20,144,"1",177,177,2006-06-30 00:00:00,2006-07-08 00:00:00
21,44,"4",201,201,2005-01-02 00:00:00,2004-12-19 00:00:00
22,173,"3",135,135,2005-01-31 00:00:00,2004-12-21 00:00:00
23,60,"4",234,324,,
24,10,"2",305,319,2006-02-28 00:00:00,2006-01-09 00:00:00
25,108,"3",258,271,2006-01-19 00:00:00,2005-12-27 00:00:00
26,216,"3",208,329,2005-03-26 00:00:00,2005-02-24 00:00:00
27,118,"3",264,438,2006-05-16 00:00:00,2006-06-12 00:00:00
28,140,"4",333,585,2006-10-11 00:00:00,2006-09-30 00:00:00
29,43,"2",122,453,2006-07-17 00:00:00,2006-06-13 00:00:00
30,245,"3",135,142,2006-11-24 00:00:00,2006-11-20 00:00:00
31,123,"3",359,359,2005-07-26 00:00:00,2005-06-23 00:00:00
32,45,"3",140,140,2006-07-16 00:00:00,2006-06-07 00:00:00
33,153,"3",122,122,2006-08-22 00:00:00,2006-06-30 00:00:00
34,56,"3",164,423,2005-05-17 00:00:00,2005-04-11 00:00:00
35,111,"4",194,194,2006-04-18 00:00:00,2006-02-26 00:00:00
36,214,"3",63,63,2005-06-30 00:00:00,2005-07-02 00:00:00
37,217,"2",281,459,2005-11-04 00:00:00,2005-11-10 00:00:00
38,163,"3",98,572,2005-01-15 00:00:00,2005-01-16 00:00:00
39,19,"2",319,478,2005-02-02 00:00:00,2005-02-07 00:00:00
40,66,"4",225,225,2005-01-10 00:00:00,2004-11-28 00:00:00
41,54,"2",329,661,2005-03-05 00:00:00,2005-03-03 00:00:00
42,168,"4",102,267,2005-08-12 00:00:00,2005-07-13 00:00:00
43,232,"4",62,385,2005-01-31 00:00:00,2005-01-12 00:00:00
44,55,"4",154,154,2005-09-01 00:00:00,2005-08-19 00:00:00
45,79,"4",244,244,2005-04-03 00:00:00,2005-04-03 00:00:00
46,207,"4",199,199,2006-08-18 00:00:00,2006-08-16 00:00:00
47,254,"4",104,413,2006-03-27 00:00:00,2006-02-07 00:00:00
48,256,"2",318,619,2006-04-09 00:00:00,2006-03-11 00:00:00
49,81,"2",67,67,2006-07-22 00:00:00,2006-07-13 00:00:00
50,78,"1",301,301,2005-12-23 00:00:00,2005-12-27 00:00:00
51,241,"2",113,113,2006-06-19 00:00:00,2006-06-26 00:00:00
52,147,"2",143,613,2006-02-19 00:00:00,2006-01-10 00:00:00
53,132,"3",96,96,2006-07-29 00:00:00,2006-07-28 00:00:00
54,2,"3",158,454,2006-08-25 00:00:00,2006-08-13 00:00:00
55,9,"4",221,221,2005-06-25 00:00:00,2005-07-06 00:00:00
56,204,"2",73,73,2005-01-05 00:00:00,2005-01-25 00:00:00
57,153,"4",270,270,2006-09-07 00:00:00,2006-08-26 00:00:00
58,38,"1",75,75,2005-01-31 00:00:00,2005-02-14 00:00:00
59,152,"1",205,666,2005-04-15 00:00:00,2005-03-20 00:00:00
60,45,"1",343,682,,
61,53,"2",161,161,2005-10-16 00:00:00,2005-09-29 00:00:00
62,43,"4",286,286,2006-01-05 00:00:00,2005-11-25 00:00:00
63,215,"4",174,174,2005-12-28 00:00:00,2005-12-07 00:00:00
64,250,"4",85,88,2006-09-26 00:00:00,2006-09-25 00:00:00
65,48,"3",286,286,2005-08-20 00:00:00,2005-08-31 00:00:00
66,240,"2",341,347,2005-05-16 00:00:00,2005-04-02 00:00:00
67,89,"1",184,184,2005-11-12 00:00:00,2005-09-26 00:00:00
68,233,"4",320,360,2005-09-07 00:00:00,2005-08-14 00:00:00
69,156,"1",232,390,2005-11-09 00:00:00,2005-10-12 00:00:00
70,13,"4",260,718,2005-11-18 00:00:00,2005-11-12 00:00:00
71,108,"3",149,548,2005-01-11 00:00:00,2005-01-06 00:00:00
72,107,"3",342,342,2005-08-16 00:00:00,2005-08-19 00:00:00
73,77,"2",322,454,2005-03-10 00:00:00,2005-02-27 00:00:00
74,158,"1",183,543,2005-09-25 00:00:00,2005-09-22 00:00:00
75,59,"2",181,181,2006-02-12 00:00:00,2006-02-04 00:00:00
76,245,"4",283,644,2006-06-18 00:00:00,2006-07-02 00:00:00
77,102,"3",294,588,2005-11-10 00:00:00,2005-11-03 00:00:00
78,46,"1",345,374,2005-07-07 00:00:00,2005-07-19 00:00:00
79,5,"4",133,224,2006-08-22 00:00:00,2006-08-03 00:00:00
80,184,"4",297,377,2006-09-24 00:00:00,2006-09-12 00:00:00
81,111,"4",282,301,2006-12-09 00:00:00,2006-10-21 00:00:00
82,70,"2",277,277,2006-11-25 00:00:00,2006-11-08 00:00:00
83,167,"3",314,314,2006-10-15 00:00:00,2006-11-04 00:00:00
84,181,"3",274,517,2006-02-22 00:00:00,2006-02-11 00:00:00
85,227,"1",155,155,2006-08-23 00:00:00,2006-09-15 00:00:00
86,182,"3",330,330,2005-02-21 00:00:00,2005-01-19 00:00:00
87,121,"4",276,276,2005-11-20 00:00:00,2005-09-26 00:00:00
88,234,"4",203,203,2005-11-06 00:00:00,2005-10-27 00:00:00
89,72,"1",310,310,2005-02-05 00:00:00,2005-01-24 00:00:00
90,123,"4",83,93,2006-11-22 00:00:00,2006-10-13 00:00:00
91,231,"1",268,268,2005-07-18 00:00:00,2005-07-13 00:00:00
92,251,"4",248,248,2005-03-20 00:00:00,2005-02-27 00:00:00
93,237,"3",327,460,2005-12-09 00:00:00,2005-11-28 00:00:00
94,22,"2",125,125,2006-09-01 00:00:00,2006-08-15 00:00:00
95,138,"3",62,481,,
96,130,"3",134,134,2005-04-30 00:00:00,2005-04-07 00:00:00
97,134,"1",154,251,2005-12-24 00:00:00,2005-11-07 00:00:00
98,256,"4",305,305,2005-08-02 00:00:00,2005-07-17 00:00:00
99,128,"4",325,794,2005-06-26 00:00:00,2005-05-18 00:00:00
