OrderID,ProductID,UnitPrice,Quantity,Discount
10248,11,HK$14.00 ,12,0
10248,42,HK$9.80 ,10,0
10248,72,HK$34.80 ,5,0
10249,14,HK$18.60 ,9,0
10249,51,HK$42.40 ,40,0
10250,41,HK$7.70 ,10,0
10250,51,HK$42.40 ,35,0.150000006
10250,65,HK$16.80 ,15,0.150000006
10251,22,HK$16.80 ,6,0.050000001
10251,57,HK$15.60 ,15,0.050000001
10251,65,HK$16.80 ,20,0
10252,20,HK$64.80 ,40,0.050000001
10252,33,HK$2.00 ,25,0.050000001
10252,60,HK$27.20 ,40,0
10253,31,HK$10.00 ,20,0
10253,39,HK$14.40 ,42,0
10253,49,HK$16.00 ,40,0
10254,24,HK$3.60 ,15,0.150000006
10254,55,HK$19.20 ,21,0.150000006
10254,74,HK$8.00 ,21,0
10255,2,HK$15.20 ,20,0
10255,16,HK$13.90 ,35,0
10255,36,HK$15.20 ,25,0
10255,59,HK$44.00 ,30,0
10256,53,HK$26.20 ,15,0
10256,77,HK$10.40 ,12,0
10257,27,HK$35.10 ,25,0
10257,39,HK$14.40 ,6,0
10257,77,HK$10.40 ,15,0
10258,2,HK$15.20 ,50,0.200000003
10258,5,HK$17.00 ,65,0.200000003
10258,32,HK$25.60 ,6,0.200000003
10259,21,HK$8.00 ,10,0
10259,37,HK$20.80 ,1,0
10260,41,HK$7.70 ,16,0.25
10260,57,HK$15.60 ,50,0
10260,62,HK$39.40 ,15,0.25
10260,70,HK$12.00 ,21,0.25
10261,21,HK$8.00 ,20,0
10261,35,HK$14.40 ,20,0
10262,5,HK$17.00 ,12,0.200000003
10262,7,HK$24.00 ,15,0
10262,56,HK$30.40 ,2,0
10263,16,HK$13.90 ,60,0.25
10263,24,HK$3.60 ,28,0
10263,30,HK$20.70 ,60,0.25
10263,74,HK$8.00 ,36,0.25
10264,2,HK$15.20 ,35,0
10264,41,HK$7.70 ,25,0.150000006
10265,17,HK$31.20 ,30,0
10265,70,HK$12.00 ,20,0
10266,12,HK$30.40 ,12,0.050000001
10267,40,HK$14.70 ,50,0
10267,59,HK$44.00 ,70,0.150000006
10267,76,HK$14.40 ,15,0.150000006
10268,29,HK$99.00 ,10,0
10268,72,HK$27.80 ,4,0
10269,33,HK$2.00 ,60,0.050000001
10269,72,HK$27.80 ,20,0.050000001
10270,36,HK$15.20 ,30,0
10270,43,HK$36.80 ,25,0
10271,33,HK$2.00 ,24,0
10272,20,HK$64.80 ,6,0
10272,31,HK$10.00 ,40,0
