CityID,City
1,Buenos Aires
2,Graz
3,Salzburg
4,Charleroi
5,Bruxelles
6,Rio de Janeiro
7,S?o Paulo
8,Resende
9,Campinas
10,Vancouver
11,Tsawassen
12,Montr?al
13,K?benhavn
14,?rhus
15,Helsinki
16,Oulu
17,Marseille
18,Versailles
19,Toulouse
20,Strasbourg
21,Lille
22,Lyon
23,Reims
24,Paris
25,Nantes
26,K?ln
27,Frankfurt a.M.
28,Stuttgart
29,Cunewalde
30,Brandenburg
31,Berlin
32,Aachen
33,M?nster
34,M?nchen
35,Mannheim
36,Leipzig
37,Cork
38,Torino
39,Reggio Emilia
40,Bergamo
41,M?xico D.F.
42,Stavern
43,Warszawa
44,Lisboa
45,Madrid
46,Sevilla
47,Barcelona
48,Br?cke
49,Lule?
50,Gen?ve
51,Bern
52,Cowes
53,London
54,Walla Walla
55,Butte
56,Seattle
57,San Francisco
58,Lander
59,Boise
60,Eugene
61,Elgin
62,Kirkland
63,Portland
64,Anchorage
65,Albuquerque
66,Barquisimeto
67,San Crist?bal
68,I. de Margarita
69,Caracas
