ProductID,ProductName,CategoryID
1,Chai,1
2,Chang,1
3,Aniseed Syrup,2
4,Chef Anton's Cajun Seasoning,2
5,Chef Anton's Gumbo Mix,2
6,Grandma's Boysenberry Spread,2
7,Uncle Bob's Organic Dried Pears,7
8,Northwoods Cranberry Sauce,2
9,Mishi Kobe Niku,6
10,Ikura,8
11,Queso Cabrales,4
12,Queso Manchego La Pastora,4
13,Konbu,8
14,Tofu,7
15,Genen Shouyu,2
16,Pavlova,3
17,Alice Mutton,6
18,Carnarvon Tigers,8
19,Teatime Chocolate Biscuits,3
20,Sir Rodney's Marmalade,3
21,Sir Rodney's Scones,3
22,Gustaf's Kn?ckebr?d,5
23,Tunnbr?d,5
24,Guaran? Fant?stica,1
25,NuNuCa Nu?-Nougat-Creme,3
26,Gumb?r Gummib?rchen,3
27,Schoggi Schokolade,3
28,R?ssle Sauerkraut,7
29,Th?ringer Rostbratwurst,6
30,Nord-Ost Matjeshering,8
31,Gorgonzola Telino,4
32,Mascarpone Fabioli,4
33,Geitost,4
34,Sasquatch Ale,1
35,Steeleye Stout,1
36,Inlagd Sill,8
37,Gravad lax,8
38,C?te de Blaye,1
39,Chartreuse verte,1
40,Boston Crab Meat,8
41,Jack's New England Clam Chowder,8
42,Singaporean Hokkien Fried Mee,5
43,Ipoh Coffee,1
44,Gula Malacca,2
45,R?gede sild,8
46,Spegesild,8
47,Zaanse koeken,3
48,Chocolade,3
49,Maxilaku,3
50,Valkoinen suklaa,3
51,Manjimup Dried Apples,7
52,Filo Mix,5
53,Perth Pasties,6
54,Tourti?re,6
55,P?t? chinois,6
56,Gnocchi di nonna Alice,5
57,Ravioli Angelo,5
58,Escargots de Bourgogne,8
59,Raclette Courdavault,4
60,Camembert Pierrot,4
61,Sirop d'?rable,2
62,Tarte au sucre,3
63,Vegie-spread,2
64,Wimmers gute Semmelkn?del,5
65,Louisiana Fiery Hot Pepper Sauce,2
66,Louisiana Hot Spiced Okra,2
67,Laughing Lumberjack Lager,1
68,Scottish Longbreads,3
69,Gudbrandsdalsost,4
70,Outback Lager,1
71,Fl?temysost,4
72,Mozzarella di Giovanni,4
73,R?d Kaviar,8
74,Longlife Tofu,7
75,Rh?nbr?u Klosterbier,1
76,Lakkalik??ri,1
77,Original Frankfurter gr?ne So?e,2
