Datetime,DestIP,Packets loss %,One-way Delay min,One-way Delay median,One-way Delay max,One-way Delay err,One-way jitter,Hops
2011-11-17 15:22:00,137.189.27.61,1.000,47.4,49,60.3,20.1,5.6,6
2011-11-17 15:22:00,64.57.17.162,1.000,128,129,161,18.3,5.2,10
2011-11-17 15:22:00,206.12.24.110,0.333,161,223,259,17.2,22.4,13
2011-11-17 15:22:00,193.48.99.79,0.000,216,217,245,18.1,4.1,20
2011-11-17 15:22:00,130.246.179.197,0.000,215,216,230,17.5,4.1,20
2011-11-17 15:22:00,130.246.179.197,0.000,215,216,230,17.5,4.1,20
2011-11-17 15:22:00,90.147.67.252,0.333,220,221,235,17.4,3.1,21
2011-11-23 09:22:00,137.189.27.61,0.000,-1.57,-1,5.22,3.1,0.4,6
2011-11-23 09:22:00,64.57.17.162,0.000,81.2,86.4,111,2.57,13.9,10
2011-11-23 09:22:00,206.12.24.110,0.000,115,116,120,2.15,0.5,13
2011-11-23 09:22:00,193.48.99.79,0.000,173,174,209,2.17,0.4,20
2011-11-23 09:22:00,130.246.179.197,0.000,172,179,208,1.58,12.7,20
2011-11-23 09:22:00,90.147.67.252,0.667,177,178,185,1.68,2.1,21
2011-11-15 01:22:00,137.189.27.61,0.000,18.5,26.2,43.5,7.78,9.9,6
2011-11-15 01:22:00,64.57.17.162,0.000,84.6,85.2,91.3,2.85,0.5,10
2011-11-15 01:22:00,206.12.24.110,0.000,118,119,129,1.64,3.7,13
2011-11-15 01:22:00,193.48.99.79,0.000,174,175,179,3.21,0.5,20
2011-11-15 01:22:00,130.246.179.197,0.000,173,191,210,1.72,9.6,20
2011-11-15 01:22:00,90.147.67.252,0.000,178,199,220,2.29,12.8,21
2011-11-19 12:52:00,137.189.27.61,0.000,-4.88,20.9,37.8,7.05,11.7,6
2011-11-19 12:52:00,64.57.17.162,0.000,83.6,84.2,86.9,2.34,0.4,10
2011-11-19 12:52:00,206.12.24.110,0.000,118,149,220,0.765,33.5,13
2011-11-19 12:52:00,193.48.99.79,0.000,175,201,223,1.28,13.6,20
2011-11-19 12:52:00,130.246.179.197,0.000,173,173,179,0.932,0.5,20
2011-11-19 12:52:00,90.147.67.252,0.333,177,178,187,1.01,0.5,21
2011-11-21 16:22:00,137.189.27.61,0.667,7.09,7.7,21.2,33.1,0.8,6
2011-11-21 16:22:00,64.57.17.162,0.667,94,99.9,124,18.1,8.9,10
2011-11-21 16:22:00,64.57.17.162,0.667,94,99.9,124,18.1,8.9,10
2011-11-21 16:22:00,206.12.24.110,0.000,127,127,197,17.1,0.9,13
2011-11-21 16:22:00,206.12.24.110,0.000,127,127,197,17.1,0.9,13
2011-11-21 16:22:00,193.48.99.79,2.000,183,184,273,17.4,3.1,20
2011-11-21 16:22:00,130.246.179.197,1.667,182,182,199,17.3,3,20
2011-11-21 16:22:00,90.147.67.252,0.667,187,188,221,17.3,3.4,21
2011-11-26 04:52:00,137.189.27.61,0.000,-4.18,-3.7,187,4.3,0.6,6
2011-11-26 04:52:00,64.57.17.162,0.000,80.3,80.9,83.4,4.01,0.4,10
2011-11-26 04:52:00,206.12.24.110,0.000,116,116,117,2.66,0.4,13
2011-11-26 04:52:00,193.48.99.79,0.000,172,173,183,2.86,1,20
2011-11-26 04:52:00,130.246.179.197,0.000,170,170,183,2.22,1,20
2011-11-26 04:52:00,90.147.67.252,0.000,175,176,179,2.45,0.9,21
2011-11-19 04:52:00,137.189.27.61,0.000,8.13,8.7,9.39,8.09,0.4,6
2011-11-19 04:52:00,64.57.17.162,0.000,89.9,90.6,92.9,3.52,0.4,10
2011-11-19 04:52:00,206.12.24.110,0.000,122,123,126,2.02,0.5,13
2011-11-19 04:52:00,193.48.99.79,0.000,177,178,178,3.73,0.5,20
2011-11-19 04:52:00,130.246.179.197,0.333,177,177,210,2.12,11.4,20
2011-11-19 04:52:00,90.147.67.252,0.000,188,188,232,2.36,0.5,22
2011-11-13 22:22:00,137.189.27.61,0.000,3.77,4.4,138,2.16,0.6,6
2011-11-13 22:22:00,64.57.17.162,0.000,83.9,84.4,91.5,1.38,0.4,10
2011-11-13 22:22:00,64.57.17.162,0.000,83.9,84.4,91.5,1.38,0.4,10
2011-11-13 22:22:00,206.12.24.110,1.667,121,148,170,0.449,10.7,13
2011-11-13 22:22:00,193.48.99.79,0.333,175,202,249,0.851,11.3,20
2011-11-13 22:22:00,130.246.179.197,0.333,174,203,219,0.531,10.9,20
2011-11-13 22:22:00,90.147.67.252,0.000,179,180,187,0.471,0.6,21
2011-11-14 00:22:00,137.189.27.61,0.000,3.99,4.6,7.01,1.78,0.4,6
2011-11-14 00:22:00,64.57.17.162,0.000,83.3,84,84.7,1.08,0.4,10
2011-11-14 00:22:00,206.12.24.110,0.000,119,120,134,0.402,4.1,13
2011-11-14 00:22:00,193.48.99.79,0.000,175,176,185,1.07,2.3,20
2011-11-14 00:22:00,130.246.179.197,0.000,173,174,187,0.485,0.6,20
2011-11-14 00:22:00,90.147.67.252,0.000,178,179,182,0.424,0.8,21
2011-11-21 03:52:00,137.189.27.61,0.000,-0.964,-0.4,162,0.24,0.5,6
2011-11-21 03:52:00,64.57.17.162,0.000,82.8,83.4,87,1.05,0.4,10
2011-11-21 03:52:00,206.12.24.110,0.000,119,120,122,0.626,0.5,13
2011-11-21 03:52:00,193.48.99.79,0.000,173,174,175,1.22,0.4,20
2011-11-21 03:52:00,130.246.179.197,0.000,173,173,191,0.401,0.5,20
2011-11-21 03:52:00,90.147.67.252,0.000,178,179,197,0.57,0.4,21
2011-11-23 02:22:00,137.189.27.61,0.000,1.14,1.8,262,5.27,0.8,6
2011-11-23 02:22:00,64.57.17.162,0.000,85.1,90.8,115,5.06,15.7,10
2011-11-23 02:22:00,206.12.24.110,0.000,119,120,129,3.83,3.5,13
2011-11-23 02:22:00,193.48.99.79,0.000,176,176,180,4.2,0.4,20
2011-11-23 02:22:00,130.246.179.197,0.000,173,177,197,3.85,11.7,20
2011-11-23 02:22:00,90.147.67.252,0.000,179,181,194,4.56,8.4,21
2011-11-27 07:22:00,137.189.27.61,0.000,0.0739,0.6,1.42,0.792,0.5,6
2011-11-27 07:22:00,64.57.17.162,0.000,84.4,84.9,87,1.93,0.5,10
2011-11-27 07:22:00,206.12.24.110,0.000,119,120,126,0.541,1,13
2011-11-27 07:22:00,193.48.99.79,0.000,174,175,176,0.818,0.5,20
2011-11-27 07:22:00,130.246.179.197,0.000,174,175,183,0.596,1.7,20
2011-11-27 07:22:00,90.147.67.252,0.000,180,180,184,0.712,0.9,21
2011-11-14 03:22:00,137.189.27.61,0.000,2.97,3.8,5.27,1.43,0.7,6
2011-11-14 03:22:00,64.57.17.162,0.000,82.2,82.8,88.1,0.956,0.5,10
2011-11-14 03:22:00,206.12.24.110,0.000,119,119,122,0.449,0.5,13
2011-11-14 03:22:00,193.48.99.79,0.000,177,178,179,0.933,0.4,20
2011-11-14 03:22:00,130.246.179.197,0.000,173,173,191,0.527,0.5,20
2011-11-14 03:22:00,90.147.67.252,0.333,178,179,181,0.472,0.9,21
2011-11-23 19:52:00,137.189.27.61,0.000,-2.91,-2.4,167,14.8,0.7,6
2011-11-23 19:52:00,64.57.17.162,1.000,82.2,109,126,15.6,12.2,10
2011-11-23 19:52:00,206.12.24.110,0.667,117,117,128,14.8,0.5,13
2011-11-23 19:52:00,193.48.99.79,0.000,174,175,184,15.5,0.5,20
2011-11-23 19:52:00,130.246.179.197,0.333,171,171,183,15.1,0.8,20
2011-11-23 19:52:00,90.147.67.252,3.333,177,205,225,14.9,13.3,21
2011-11-29 10:22:00,137.189.27.61,0.000,17.6,18.3,26,7.9,0.4,6
2011-11-29 10:22:00,64.57.17.162,2.333,82.4,84.4,98.9,1.86,9.1,10
2011-11-29 10:22:00,206.12.24.110,0.667,500,815,1.02e+03,1.02,159,13
2011-11-29 10:22:00,206.12.24.110,0.667,500,815,1.02e+03,1.02,159,13
2011-11-29 10:22:00,193.48.99.79,0.000,172,173,199,1.15,1.2,20
2011-11-29 10:22:00,130.246.179.197,0.000,173,174,188,0.912,0.6,20
2011-11-29 10:22:00,90.147.67.252,0.000,179,179,184,1.33,0.9,21
2011-11-29 03:52:00,137.189.27.61,0.000,24.3,25,45.4,10,0.6,6
2011-11-29 03:52:00,64.57.17.162,0.000,85.2,85.8,88.8,2.9,0.4,10
2011-11-29 03:52:00,206.12.24.110,0.000,120,170,211,2.77,27.4,13
2011-11-29 03:52:00,193.48.99.79,0.000,176,177,179,2.37,0.6,20
2011-11-29 03:52:00,130.246.179.197,0.000,173,174,180,2.12,0.4,20
2011-11-29 03:52:00,90.147.67.252,0.000,179,180,191,3.16,7.9,21
2011-11-29 00:22:00,137.189.27.61,0.000,-0.784,-0.2,3.57,5.8,0.5,6
2011-11-29 00:22:00,64.57.17.162,0.000,84.2,84.9,88.8,4.62,0.4,10
2011-11-29 00:22:00,206.12.24.110,0.000,223,462,555,5.52,68.9,13
2011-11-29 00:22:00,193.48.99.79,0.000,175,176,183,3.76,0.5,20
2011-11-29 00:22:00,130.246.179.197,1.667,173,173,180,3.51,0.5,20
2011-11-29 00:22:00,90.147.67.252,0.667,179,180,192,5.31,3.6,21
2011-11-19 01:52:00,137.189.27.61,0.000,1.12,1.7,57.1,5.89,0.5,6
2011-11-19 01:52:00,64.57.17.162,0.000,80.1,80.6,82.3,4.97,0.5,10
2011-11-19 01:52:00,206.12.24.110,0.000,116,117,122,3.81,0.6,13
2011-11-19 01:52:00,193.48.99.79,0.000,176,176,181,4.38,0.5,20
2011-11-19 01:52:00,130.246.179.197,0.000,170,171,191,3.86,0.7,20
2011-11-19 01:52:00,90.147.67.252,0.000,181,182,184,4.09,0.5,22
2011-11-21 01:52:00,137.189.27.61,0.000,-1.54,-0.9,157,5.44,2.1,6
2011-11-21 01:52:00,64.57.17.162,0.000,84.9,85.6,95.6,1.39,3.8,10
2011-11-21 01:52:00,206.12.24.110,0.000,120,121,123,0.822,0.5,13
2011-11-21 01:52:00,193.48.99.79,0.000,175,175,178,1.65,0.5,20
2011-11-21 01:52:00,130.246.179.197,0.000,173,174,180,0.481,0.5,20
2011-11-21 01:52:00,90.147.67.252,0.000,179,180,185,0.466,0.4,21
2011-11-15 03:52:00,137.189.27.61,0.000,5.33,5.9,8.52,7.06,0.4,6
2011-11-15 03:52:00,64.57.17.162,0.000,85.4,86,88.9,2.3,0.5,10
2011-11-15 03:52:00,206.12.24.110,0.000,121,121,180,1.01,8.1,13
2011-11-15 03:52:00,193.48.99.79,0.000,176,176,182,2.22,1.5,20
2011-11-15 03:52:00,130.246.179.197,0.000,175,175,187,1.11,1.5,20
2011-11-15 03:52:00,90.147.67.252,0.333,180,181,186,1.41,2,21
2011-11-23 17:22:00,137.189.27.61,0.667,12.4,13.1,174,22.9,3.4,6
2011-11-23 17:22:00,64.57.17.162,0.667,96.3,96.9,114,23.9,2.5,10
2011-11-23 17:22:00,64.57.17.162,0.667,96.3,96.9,114,23.9,2.5,10
2011-11-23 17:22:00,206.12.24.110,0.667,132,133,144,23,3.6,13
2011-11-23 17:22:00,193.48.99.79,0.667,186,187,243,23.7,2.8,20
2011-11-23 17:22:00,130.246.179.197,0.667,187,212,237,23.1,12.5,20
2011-11-23 17:22:00,130.246.179.197,0.667,187,212,237,23.1,12.5,20
2011-11-23 17:22:00,90.147.67.252,0.000,192,193,203,23,1.2,21
