Datetime,DestIP,Packet loss %,RTT min,RTT avg,RTT max,RTT mdev
2011-11-13 19:52:00,137.189.27.61,0,3.004,3.587,4.185,0.430
2011-11-13 19:52:00,64.57.17.162,0,209.159,209.788,210.241,0.707
2011-11-13 19:52:00,206.12.24.110,0,248.197,249.649,255.259,1.608
2011-11-13 19:52:00,193.48.99.79,0,291.248,292.334,293.514,0.965
2011-11-13 19:52:00,130.246.179.197,0,291.153,291.797,292.319,0.591
2011-11-13 19:52:00,90.147.67.252,0,305.229,305.473,307.246,0.495
2011-11-24 00:52:00,137.189.27.61,6,2.968,6.375,11.568,2.826
2011-11-24 00:52:00,64.57.17.162,0,209.162,209.829,211.530,0.836
2011-11-24 00:52:00,206.12.24.110,0,202.154,205.285,216.215,4.735
2011-11-24 00:52:00,193.48.99.79,0,293.201,293.518,294.974,0.533
2011-11-24 00:52:00,130.246.179.197,0,292.269,293.468,294.272,0.565
2011-11-24 00:52:00,90.147.67.252,0,306.222,306.622,307.313,0.768
2011-11-18 11:52:00,137.189.27.61,0,3.254,3.891,4.479,0.275
2011-11-18 11:52:00,64.57.17.162,0,209.582,210.571,211.549,0.604
2011-11-18 11:52:00,206.12.24.110,6,281.113,312.908,345.281,15.625
2011-11-18 11:52:00,193.48.99.79,0,291.446,292.548,293.272,0.615
2011-11-18 11:52:00,130.246.179.197,0,291.865,292.619,293.481,0.739
2011-11-18 11:52:00,90.147.67.252,0,307.203,307.851,308.760,0.760
2011-11-21 20:52:00,137.189.27.61,0,2.982,3.627,4.188,0.430
2011-11-21 20:52:00,64.57.17.162,0,209.179,210.031,210.587,0.369
2011-11-21 20:52:00,206.12.24.110,0,202.172,202.764,203.455,0.565
2011-11-21 20:52:00,193.48.99.79,0,289.272,290.294,291.199,0.765
2011-11-21 20:52:00,130.246.179.197,0,289.207,289.964,291.703,0.864
2011-11-21 20:52:00,90.147.67.252,0,303.187,303.528,304.226,0.787
2011-11-27 21:52:00,137.189.27.61,0,2.419,3.329,4.251,0.556
2011-11-27 21:52:00,64.57.17.162,0,209.126,209.805,210.255,0.575
2011-11-27 21:52:00,206.12.24.110,0,201.207,202.106,203.024,0.601
2011-11-27 21:52:00,193.48.99.79,0,291.244,292.414,297.336,1.524
2011-11-27 21:52:00,130.246.179.197,0,291.269,291.928,292.592,0.528
2011-11-27 21:52:00,90.147.67.252,0,305.203,305.516,306.275,0.565
2011-11-17 13:52:00,137.189.27.61,0,2.715,4.027,5.234,0.727
2011-11-17 13:52:00,64.57.17.162,0,209.282,210.480,211.548,0.751
2011-11-17 13:52:00,206.12.24.110,0,248.773,250.018,253.072,1.218
2011-11-17 13:52:00,193.48.99.79,6,292.174,293.252,294.478,0.736
2011-11-17 13:52:00,130.246.179.197,0,291.354,296.906,305.761,4.948
2011-11-17 13:52:00,90.147.67.252,18,307.574,313.398,322.207,4.821
2011-11-25 09:52:00,137.189.27.61,0,2.860,3.478,4.011,0.451
2011-11-25 09:52:00,64.57.17.162,0,209.194,210.010,210.510,0.599
2011-11-25 09:52:00,206.12.24.110,0,202.164,202.796,203.201,0.587
2011-11-25 09:52:00,193.48.99.79,0,291.297,292.694,294.283,1.039
2011-11-25 09:52:00,130.246.179.197,0,291.180,292.233,294.133,0.924
2011-11-25 09:52:00,90.147.67.252,0,305.254,306.019,308.268,0.750
2011-11-16 06:52:00,137.189.27.61,0,1.946,2.645,3.060,0.407
2011-11-16 06:52:00,64.57.17.162,0,208.325,209.306,210.148,0.608
2011-11-16 06:52:00,206.12.24.110,0,247.595,250.526,263.848,4.092
2011-11-16 06:52:00,193.48.99.79,0,291.247,291.384,292.222,0.436
2011-11-16 06:52:00,130.246.179.197,0,290.530,291.425,293.276,0.933
2011-11-16 06:52:00,90.147.67.252,0,304.251,304.506,305.300,0.474
2011-11-15 23:22:00,137.189.27.61,0,2.764,3.247,4.027,0.436
2011-11-15 23:22:00,64.57.17.162,0,209.134,209.906,210.209,0.619
2011-11-15 23:22:00,206.12.24.110,0,248.242,250.025,257.155,2.429
2011-11-15 23:22:00,193.48.99.79,0,292.223,293.024,294.244,0.648
2011-11-15 23:22:00,130.246.179.197,0,292.219,292.691,295.200,1.021
2011-11-15 23:22:00,90.147.67.252,0,305.311,307.752,314.914,2.365
2011-11-15 00:52:00,137.189.27.61,0,2.561,3.742,4.991,0.704
2011-11-15 00:52:00,64.57.17.162,0,209.133,209.419,210.199,0.640
2011-11-15 00:52:00,206.12.24.110,6,251.243,279.147,314.122,17.959
2011-11-15 00:52:00,193.48.99.79,0,292.199,292.439,293.253,0.469
2011-11-15 00:52:00,130.246.179.197,0,292.225,292.562,293.361,0.741
2011-11-15 00:52:00,90.147.67.252,6,305.243,306.697,308.255,1.122
2011-11-29 13:52:00,137.189.27.61,0,3.069,4.269,6.877,0.923
2011-11-29 13:52:00,64.57.17.162,0,209.905,210.646,212.382,0.784
2011-11-29 13:52:00,206.12.24.110,0,204.049,209.535,217.218,4.325
2011-11-29 13:52:00,193.48.99.79,0,292.765,293.932,295.282,0.839
2011-11-29 13:52:00,130.246.179.197,0,291.807,294.853,304.947,3.439
2011-11-29 13:52:00,90.147.67.252,0,306.004,307.682,310.616,1.449
2011-11-21 23:22:00,137.189.27.61,0,2.447,9.610,104.902,24.608
2011-11-21 23:22:00,64.57.17.162,0,209.167,209.808,210.526,0.425
2011-11-21 23:22:00,206.12.24.110,0,202.153,202.532,203.168,0.384
2011-11-21 23:22:00,193.48.99.79,0,289.277,290.146,290.997,0.514
2011-11-21 23:22:00,130.246.179.197,0,289.223,289.855,291.245,0.905
2011-11-21 23:22:00,90.147.67.252,0,303.236,328.165,362.431,21.629
2011-11-25 00:22:00,137.189.27.61,0,2.643,3.275,4.262,0.500
2011-11-25 00:22:00,64.57.17.162,0,209.185,209.782,210.232,0.665
2011-11-25 00:22:00,206.12.24.110,18,202.152,203.934,208.379,1.606
2011-11-25 00:22:00,193.48.99.79,0,291.204,291.449,292.234,0.575
2011-11-25 00:22:00,130.246.179.197,0,291.221,291.558,292.274,0.690
2011-11-25 00:22:00,90.147.67.252,0,304.299,305.200,306.235,0.817
2011-11-14 16:52:00,137.189.27.61,0,3.394,12.839,146.956,34.629
2011-11-14 16:52:00,64.57.17.162,0,209.852,210.226,211.128,0.340
2011-11-14 16:52:00,206.12.24.110,0,249.198,251.502,258.124,2.775
2011-11-14 16:52:00,193.48.99.79,6,292.227,293.261,294.385,0.888
2011-11-14 16:52:00,130.246.179.197,0,292.184,293.142,295.281,0.950
2011-11-14 16:52:00,90.147.67.252,0,310.028,319.035,326.630,4.959
2011-11-15 16:22:00,137.189.27.61,0,2.775,4.483,7.846,1.103
2011-11-15 16:22:00,64.57.17.162,0,209.530,211.304,214.664,1.497
2011-11-15 16:22:00,206.12.24.110,0,250.057,252.570,257.476,2.257
2011-11-15 16:22:00,193.48.99.79,0,294.265,296.074,302.274,1.901
2011-11-15 16:22:00,130.246.179.197,0,294.547,295.524,297.644,0.943
2011-11-15 16:22:00,90.147.67.252,0,307.690,308.793,311.258,1.086
2011-11-24 21:52:00,137.189.27.61,0,2.957,3.526,4.268,0.464
2011-11-24 21:52:00,64.57.17.162,0,209.202,209.912,210.244,0.624
2011-11-24 21:52:00,206.12.24.110,0,202.089,203.344,210.450,2.013
2011-11-24 21:52:00,193.48.99.79,0,291.248,292.037,292.356,0.664
2011-11-24 21:52:00,130.246.179.197,0,291.266,291.883,293.166,0.784
2011-11-24 21:52:00,90.147.67.252,0,304.353,305.800,307.518,0.782
2011-11-24 18:22:00,137.189.27.61,0,2.251,3.660,4.125,0.458
2011-11-24 18:22:00,64.57.17.162,0,209.327,210.328,212.263,0.865
2011-11-24 18:22:00,206.12.24.110,0,202.186,203.050,206.254,1.078
2011-11-24 18:22:00,193.48.99.79,0,291.863,292.696,294.144,0.730
2011-11-24 18:22:00,130.246.179.197,0,291.411,292.494,295.102,1.086
