Datetime,DestIP,hops
2011-11-25 11:52:00,137.189.27.61,7
2011-11-25 11:52:00,64.57.17.162,11
2011-11-25 11:52:00,206.12.24.110,14
2011-11-25 11:52:00,193.48.99.79,21
2011-11-25 11:52:00,130.246.179.197,21
2011-11-25 11:52:00,90.147.67.252,22
2011-11-16 15:52:00,137.189.27.61,7
2011-11-16 15:52:00,64.57.17.162,11
2011-11-16 15:52:00,206.12.24.110,14
2011-11-16 15:52:00,193.48.99.79,21
2011-11-16 15:52:00,130.246.179.197,21
2011-11-16 15:52:00,90.147.67.252,22
2011-11-24 22:52:00,137.189.27.61,7
2011-11-24 22:52:00,64.57.17.162,11
2011-11-24 22:52:00,206.12.24.110,14
2011-11-24 22:52:00,193.48.99.79,21
2011-11-24 22:52:00,130.246.179.197,21
2011-11-24 22:52:00,90.147.67.252,22
2011-11-23 07:22:00,137.189.27.61,7
2011-11-23 07:22:00,64.57.17.162,11
2011-11-23 07:22:00,206.12.24.110,14
2011-11-23 07:22:00,193.48.99.79,21
2011-11-23 07:22:00,130.246.179.197,21
2011-11-23 07:22:00,90.147.67.252,22
2011-11-19 01:52:00,137.189.27.61,7
2011-11-19 01:52:00,64.57.17.162,11
2011-11-19 01:52:00,206.12.24.110,14
2011-11-19 01:52:00,193.48.99.79,21
2011-11-19 01:52:00,130.246.179.197,21
2011-11-19 01:52:00,90.147.67.252,23
2011-11-13 02:52:00,137.189.27.61,7
2011-11-13 02:52:00,64.57.17.162,11
2011-11-13 02:52:00,206.12.24.110,14
2011-11-13 02:52:00,193.48.99.79,21
2011-11-13 02:52:00,130.246.179.197,21
2011-11-13 02:52:00,90.147.67.252,22
2011-11-17 20:22:00,137.189.27.61,7
2011-11-17 20:22:00,64.57.17.162,11
2011-11-17 20:22:00,206.12.24.110,14
2011-11-17 20:22:00,193.48.99.79,21
2011-11-17 20:22:00,130.246.179.197,21
2011-11-17 20:22:00,90.147.67.252,22
2011-11-16 13:22:00,137.189.27.61,7
2011-11-16 13:22:00,64.57.17.162,11
2011-11-16 13:22:00,206.12.24.110,14
2011-11-16 13:22:00,193.48.99.79,21
2011-11-16 13:22:00,130.246.179.197,21
2011-11-16 13:22:00,90.147.67.252,22
2011-11-28 19:22:00,137.189.27.61,7
2011-11-28 19:22:00,64.57.17.162,11
2011-11-28 19:22:00,206.12.24.110,14
2011-11-28 19:22:00,193.48.99.79,21
2011-11-28 19:22:00,130.246.179.197,21
2011-11-28 19:22:00,90.147.67.252,22
2011-11-17 04:22:00,137.189.27.61,7
2011-11-17 04:22:00,64.57.17.162,11
2011-11-17 04:22:00,206.12.24.110,14
2011-11-17 04:22:00,193.48.99.79,21
2011-11-17 04:22:00,130.246.179.197,21
2011-11-17 04:22:00,90.147.67.252,22
2011-11-27 07:22:00,137.189.27.61,7
2011-11-27 07:22:00,64.57.17.162,11
2011-11-27 07:22:00,206.12.24.110,14
2011-11-27 07:22:00,193.48.99.79,21
2011-11-27 07:22:00,130.246.179.197,21
2011-11-27 07:22:00,90.147.67.252,22
2011-11-20 17:22:00,137.189.27.61,7
2011-11-20 17:22:00,64.57.17.162,11
2011-11-20 17:22:00,206.12.24.110,14
2011-11-20 17:22:00,193.48.99.79,21
2011-11-20 17:22:00,130.246.179.197,21
2011-11-20 17:22:00,90.147.67.252,22
2011-11-15 19:22:00,137.189.27.61,7
2011-11-15 19:22:00,64.57.17.162,11
2011-11-15 19:22:00,206.12.24.110,14
